id,PredictionString,negative,typical,indeterminate,atypical
0135d267f462_study,negative 0.0 0 0 1 1 typical 0.9915 0 0 1 1 indeterminate 0.0079 0 0 1 1 atypical 0.0006 0 0 1 1,5.844494e-06,0.99151236,0.0079303095,0.00055155397
013d698aeecb_study,negative 0.8194 0 0 1 1 typical 0.0611 0 0 1 1 indeterminate 0.103 0 0 1 1 atypical 0.0165 0 0 1 1,0.81942487,0.061125513,0.102968074,0.01648154
0142feaef82f_study,negative 0.5569 0 0 1 1 typical 0.2017 0 0 1 1 indeterminate 0.1892 0 0 1 1 atypical 0.0522 0 0 1 1,0.55688757,0.20172602,0.18923092,0.052155524
0147e3c530f2_study,negative 0.4024 0 0 1 1 typical 0.056 0 0 1 1 indeterminate 0.1642 0 0 1 1 atypical 0.3775 0 0 1 1,0.40235433,0.056024406,0.16415769,0.3774636
01494b9b4423_study,negative 0.737 0 0 1 1 typical 0.063 0 0 1 1 indeterminate 0.1688 0 0 1 1 atypical 0.0312 0 0 1 1,0.73704845,0.0629589,0.16882814,0.031164473
015707c0e73f_study,negative 0.1548 0 0 1 1 typical 0.3944 0 0 1 1 indeterminate 0.3117 0 0 1 1 atypical 0.1391 0 0 1 1,0.15478578,0.39439756,0.31174132,0.13907534
0159c2d40b52_study,negative 0.0021 0 0 1 1 typical 0.9039 0 0 1 1 indeterminate 0.0803 0 0 1 1 atypical 0.0137 0 0 1 1,0.0020987284,0.90388423,0.08027219,0.013744915
015a2029ad0c_study,negative 0.8462 0 0 1 1 typical 0.0579 0 0 1 1 indeterminate 0.0754 0 0 1 1 atypical 0.0206 0 0 1 1,0.84616625,0.057850722,0.07541492,0.020568116
016c1781fbb2_study,negative 0.6208 0 0 1 1 typical 0.1173 0 0 1 1 indeterminate 0.1535 0 0 1 1 atypical 0.1084 0 0 1 1,0.6207588,0.11732383,0.15347481,0.10844258
0172a5607c9d_study,negative 0.0034 0 0 1 1 typical 0.9261 0 0 1 1 indeterminate 0.0603 0 0 1 1 atypical 0.0101 0 0 1 1,0.003444774,0.9261318,0.060286473,0.010136991
01805585ad69_study,negative 0.011 0 0 1 1 typical 0.6672 0 0 1 1 indeterminate 0.2763 0 0 1 1 atypical 0.0455 0 0 1 1,0.011004374,0.66719675,0.27627397,0.04552491
018c5ec34722_study,negative 0.1169 0 0 1 1 typical 0.4343 0 0 1 1 indeterminate 0.4026 0 0 1 1 atypical 0.0462 0 0 1 1,0.11690707,0.4343345,0.4025632,0.04619516
018c96c9aeff_study,negative 0.0003 0 0 1 1 typical 0.8952 0 0 1 1 indeterminate 0.0871 0 0 1 1 atypical 0.0175 0 0 1 1,0.00028690117,0.89515495,0.08708936,0.017468775
018cfcc1e851_study,negative 0.0419 0 0 1 1 typical 0.2592 0 0 1 1 indeterminate 0.3498 0 0 1 1 atypical 0.3491 0 0 1 1,0.04187154,0.25916958,0.3498138,0.34914508
01934dbaf28b_study,negative 0.9681 0 0 1 1 typical 0.012 0 0 1 1 indeterminate 0.0177 0 0 1 1 atypical 0.0021 0 0 1 1,0.968088,0.01204837,0.017743565,0.0021201938
019960c57d32_study,negative 0.0427 0 0 1 1 typical 0.8114 0 0 1 1 indeterminate 0.1244 0 0 1 1 atypical 0.0215 0 0 1 1,0.042695723,0.8114246,0.124375165,0.021504484
019aef94b388_study,negative 0.9121 0 0 1 1 typical 0.0324 0 0 1 1 indeterminate 0.0378 0 0 1 1 atypical 0.0178 0 0 1 1,0.91207933,0.03239764,0.037772983,0.017750075
01c6c27b82a4_study,negative 0.9598 0 0 1 1 typical 0.0102 0 0 1 1 indeterminate 0.0226 0 0 1 1 atypical 0.0074 0 0 1 1,0.95983046,0.010169023,0.022634996,0.0073654847
01c8e624037b_study,negative 0.7857 0 0 1 1 typical 0.1145 0 0 1 1 indeterminate 0.0737 0 0 1 1 atypical 0.0261 0 0 1 1,0.78568226,0.11445904,0.073711924,0.026146699
01ce54f82d94_study,negative 0.471 0 0 1 1 typical 0.0827 0 0 1 1 indeterminate 0.2965 0 0 1 1 atypical 0.1498 0 0 1 1,0.47097504,0.08266065,0.29654047,0.14982374
01e030757f57_study,negative 0.0105 0 0 1 1 typical 0.2617 0 0 1 1 indeterminate 0.3343 0 0 1 1 atypical 0.3935 0 0 1 1,0.01045977,0.26174074,0.33431754,0.39348197
01e19055f756_study,negative 0.4839 0 0 1 1 typical 0.2696 0 0 1 1 indeterminate 0.2073 0 0 1 1 atypical 0.0392 0 0 1 1,0.48387578,0.26958817,0.2073341,0.039201908
01e830e3a965_study,negative 0.396 0 0 1 1 typical 0.0951 0 0 1 1 indeterminate 0.166 0 0 1 1 atypical 0.3428 0 0 1 1,0.39599398,0.09512401,0.16603364,0.3428484
01ed923839d7_study,negative 0.9305 0 0 1 1 typical 0.0156 0 0 1 1 indeterminate 0.0401 0 0 1 1 atypical 0.0138 0 0 1 1,0.9305306,0.015595831,0.040061433,0.013812107
01f104b42afd_study,negative 0.0892 0 0 1 1 typical 0.6839 0 0 1 1 indeterminate 0.1726 0 0 1 1 atypical 0.0543 0 0 1 1,0.089185685,0.68386567,0.17264451,0.054304183
01fc72cc1f1a_study,negative 0.0022 0 0 1 1 typical 0.9581 0 0 1 1 indeterminate 0.0362 0 0 1 1 atypical 0.0035 0 0 1 1,0.0021987064,0.95813346,0.036161482,0.003506376
0207ea0aaf24_study,negative 0.0939 0 0 1 1 typical 0.4308 0 0 1 1 indeterminate 0.3005 0 0 1 1 atypical 0.1747 0 0 1 1,0.093928516,0.4308489,0.3005466,0.17467597
0212c908aa20_study,negative 0.9127 0 0 1 1 typical 0.0294 0 0 1 1 indeterminate 0.0433 0 0 1 1 atypical 0.0146 0 0 1 1,0.9126552,0.029424464,0.043306734,0.014613577
0213594439b0_study,negative 0.0004 0 0 1 1 typical 0.9554 0 0 1 1 indeterminate 0.0408 0 0 1 1 atypical 0.0034 0 0 1 1,0.00039474363,0.9554428,0.040802233,0.0033602216
021986b21570_study,negative 0.0031 0 0 1 1 typical 0.8843 0 0 1 1 indeterminate 0.0977 0 0 1 1 atypical 0.015 0 0 1 1,0.0031203576,0.8842548,0.09765498,0.014969855
021a7bd50924_study,negative 0.0101 0 0 1 1 typical 0.8546 0 0 1 1 indeterminate 0.1111 0 0 1 1 atypical 0.0242 0 0 1 1,0.010093436,0.8546107,0.11107509,0.024220755
022165b35383_study,negative 0.0041 0 0 1 1 typical 0.8808 0 0 1 1 indeterminate 0.1014 0 0 1 1 atypical 0.0137 0 0 1 1,0.004145234,0.8807586,0.1014178,0.013678405
022f9b3cfd91_study,negative 0.3538 0 0 1 1 typical 0.1957 0 0 1 1 indeterminate 0.4029 0 0 1 1 atypical 0.0476 0 0 1 1,0.3537732,0.1956953,0.40289485,0.04763663
023a30330136_study,negative 0.0599 0 0 1 1 typical 0.757 0 0 1 1 indeterminate 0.1519 0 0 1 1 atypical 0.0312 0 0 1 1,0.059919547,0.7569899,0.15190254,0.031187985
02401e15e783_study,negative 0.0001 0 0 1 1 typical 0.9889 0 0 1 1 indeterminate 0.0106 0 0 1 1 atypical 0.0003 0 0 1 1,0.0001035201,0.9889204,0.010631743,0.00034441063
0287079f5a1a_study,negative 0.7383 0 0 1 1 typical 0.0815 0 0 1 1 indeterminate 0.1498 0 0 1 1 atypical 0.0304 0 0 1 1,0.73826057,0.08147543,0.14981453,0.030449558
028b79a357d6_study,negative 0.2943 0 0 1 1 typical 0.4438 0 0 1 1 indeterminate 0.196 0 0 1 1 atypical 0.0659 0 0 1 1,0.2943151,0.44382668,0.19599052,0.06586766
02a0fd4d10d6_study,negative 0.2329 0 0 1 1 typical 0.2938 0 0 1 1 indeterminate 0.377 0 0 1 1 atypical 0.0963 0 0 1 1,0.23292843,0.29378867,0.37696093,0.09632194
02accd5bab1f_study,negative 0.8549 0 0 1 1 typical 0.0715 0 0 1 1 indeterminate 0.0619 0 0 1 1 atypical 0.0117 0 0 1 1,0.85492665,0.071503446,0.06185556,0.011714249
02be71f8212c_study,negative 0.0896 0 0 1 1 typical 0.3433 0 0 1 1 indeterminate 0.2817 0 0 1 1 atypical 0.2853 0 0 1 1,0.08964969,0.3433093,0.28173286,0.2853081
02bfa5949092_study,negative 0.6595 0 0 1 1 typical 0.1548 0 0 1 1 indeterminate 0.1434 0 0 1 1 atypical 0.0423 0 0 1 1,0.6594922,0.15475562,0.14343065,0.042321537
02e31620e4e7_study,negative 0.4396 0 0 1 1 typical 0.3371 0 0 1 1 indeterminate 0.1798 0 0 1 1 atypical 0.0435 0 0 1 1,0.43960032,0.3371249,0.17978653,0.043488245
02e6db1dccd4_study,negative 0.3237 0 0 1 1 typical 0.1074 0 0 1 1 indeterminate 0.2447 0 0 1 1 atypical 0.3242 0 0 1 1,0.32372147,0.10740996,0.24471776,0.3241508
02f88d67e4d6_study,negative 0.0004 0 0 1 1 typical 0.965 0 0 1 1 indeterminate 0.0328 0 0 1 1 atypical 0.0017 0 0 1 1,0.00041489056,0.9650061,0.032832805,0.0017461433
03169bde8e0e_study,negative 0.0712 0 0 1 1 typical 0.1449 0 0 1 1 indeterminate 0.4992 0 0 1 1 atypical 0.2847 0 0 1 1,0.07123104,0.14494601,0.49915826,0.28466472
0326cbb3b63d_study,negative 0.3693 0 0 1 1 typical 0.285 0 0 1 1 indeterminate 0.2686 0 0 1 1 atypical 0.0771 0 0 1 1,0.36930987,0.28502896,0.26859534,0.07706577
03295f6c7460_study,negative 0.0 0 0 1 1 typical 0.9867 0 0 1 1 indeterminate 0.0124 0 0 1 1 atypical 0.0008 0 0 1 1,1.587366e-05,0.9867265,0.012422842,0.000834804
032ba2202933_study,negative 0.0188 0 0 1 1 typical 0.7994 0 0 1 1 indeterminate 0.1465 0 0 1 1 atypical 0.0353 0 0 1 1,0.018807823,0.79939157,0.14650087,0.035299677
032c262f65c0_study,negative 0.958 0 0 1 1 typical 0.0125 0 0 1 1 indeterminate 0.0266 0 0 1 1 atypical 0.0029 0 0 1 1,0.95798707,0.012484691,0.02659376,0.0029344705
032d9cc1e0ef_study,negative 0.0192 0 0 1 1 typical 0.6728 0 0 1 1 indeterminate 0.2038 0 0 1 1 atypical 0.1042 0 0 1 1,0.019202262,0.6728066,0.20378678,0.10420441
033238643ba8_study,negative 0.9525 0 0 1 1 typical 0.0092 0 0 1 1 indeterminate 0.0323 0 0 1 1 atypical 0.006 0 0 1 1,0.9524992,0.009178892,0.0323376,0.0059843957
03461d2a218f_study,negative 0.0109 0 0 1 1 typical 0.8825 0 0 1 1 indeterminate 0.0948 0 0 1 1 atypical 0.0118 0 0 1 1,0.010921325,0.8824535,0.09483524,0.011789987
0349c7c46ed3_study,negative 0.4986 0 0 1 1 typical 0.2141 0 0 1 1 indeterminate 0.2186 0 0 1 1 atypical 0.0687 0 0 1 1,0.49858555,0.21409602,0.21858385,0.06873456
035c61ec21cb_study,negative 0.7474 0 0 1 1 typical 0.0942 0 0 1 1 indeterminate 0.1265 0 0 1 1 atypical 0.0319 0 0 1 1,0.747432,0.094220415,0.12648793,0.031859674
0369e0385796_study,negative 0.0178 0 0 1 1 typical 0.8066 0 0 1 1 indeterminate 0.1396 0 0 1 1 atypical 0.036 0 0 1 1,0.017783467,0.8065986,0.13963221,0.03598576
038124609f4c_study,negative 0.8961 0 0 1 1 typical 0.0326 0 0 1 1 indeterminate 0.0557 0 0 1 1 atypical 0.0157 0 0 1 1,0.8960703,0.03260803,0.0556716,0.01565007
038891a2ca57_study,negative 0.5505 0 0 1 1 typical 0.1827 0 0 1 1 indeterminate 0.2092 0 0 1 1 atypical 0.0576 0 0 1 1,0.5504911,0.18270399,0.2092085,0.05759645
03920c119b2b_study,negative 0.6522 0 0 1 1 typical 0.0653 0 0 1 1 indeterminate 0.253 0 0 1 1 atypical 0.0295 0 0 1 1,0.6522224,0.06532787,0.25299868,0.029451
03a19e4df23a_study,negative 0.1189 0 0 1 1 typical 0.3184 0 0 1 1 indeterminate 0.325 0 0 1 1 atypical 0.2376 0 0 1 1,0.118947834,0.31843814,0.32504418,0.23756978
03a549fc0402_study,negative 0.2642 0 0 1 1 typical 0.4416 0 0 1 1 indeterminate 0.2163 0 0 1 1 atypical 0.0779 0 0 1 1,0.26419008,0.4416408,0.2162545,0.07791457
03bbf042e102_study,negative 0.7954 0 0 1 1 typical 0.0874 0 0 1 1 indeterminate 0.0937 0 0 1 1 atypical 0.0236 0 0 1 1,0.795351,0.08738728,0.09367268,0.023589056
03c62bc287b6_study,negative 0.9702 0 0 1 1 typical 0.0114 0 0 1 1 indeterminate 0.0162 0 0 1 1 atypical 0.0022 0 0 1 1,0.9702482,0.011392086,0.016160352,0.0021992698
03c8c9fe62ba_study,negative 0.8831 0 0 1 1 typical 0.035 0 0 1 1 indeterminate 0.0607 0 0 1 1 atypical 0.0213 0 0 1 1,0.8830668,0.034956407,0.060678657,0.021298228
03c94694e41e_study,negative 0.2206 0 0 1 1 typical 0.2687 0 0 1 1 indeterminate 0.4702 0 0 1 1 atypical 0.0405 0 0 1 1,0.22057208,0.26869,0.47022116,0.040516745
03db5dc7f1a2_study,negative 0.6318 0 0 1 1 typical 0.1619 0 0 1 1 indeterminate 0.1589 0 0 1 1 atypical 0.0473 0 0 1 1,0.63181406,0.16194901,0.15891267,0.047324274
03e15b1576b1_study,negative 0.2364 0 0 1 1 typical 0.4956 0 0 1 1 indeterminate 0.2254 0 0 1 1 atypical 0.0425 0 0 1 1,0.23640242,0.4956362,0.2254127,0.04254867
03e9959341af_study,negative 0.0418 0 0 1 1 typical 0.6094 0 0 1 1 indeterminate 0.2525 0 0 1 1 atypical 0.0963 0 0 1 1,0.04178025,0.60939646,0.25254756,0.096275695
03f7a5f8d8ea_study,negative 0.0251 0 0 1 1 typical 0.5865 0 0 1 1 indeterminate 0.2529 0 0 1 1 atypical 0.1356 0 0 1 1,0.025076674,0.5864656,0.25286278,0.13559498
0412ac22af28_study,negative 0.0629 0 0 1 1 typical 0.5935 0 0 1 1 indeterminate 0.2318 0 0 1 1 atypical 0.1118 0 0 1 1,0.062854394,0.59347636,0.23184906,0.111820154
041ff1b4eb02_study,negative 0.829 0 0 1 1 typical 0.0797 0 0 1 1 indeterminate 0.0712 0 0 1 1 atypical 0.0201 0 0 1 1,0.8290155,0.07972445,0.07120832,0.02005174
0428b590379a_study,negative 0.4886 0 0 1 1 typical 0.1289 0 0 1 1 indeterminate 0.2823 0 0 1 1 atypical 0.1003 0 0 1 1,0.48858216,0.1288548,0.28228992,0.100273095
0444a957bb4d_study,negative 0.2075 0 0 1 1 typical 0.178 0 0 1 1 indeterminate 0.4244 0 0 1 1 atypical 0.1901 0 0 1 1,0.20750715,0.17804945,0.4243865,0.19005693
0447a64e5813_study,negative 0.6161 0 0 1 1 typical 0.1259 0 0 1 1 indeterminate 0.2238 0 0 1 1 atypical 0.0342 0 0 1 1,0.61608607,0.12587579,0.22384623,0.034191962
0455eeb9fbcc_study,negative 0.5732 0 0 1 1 typical 0.2194 0 0 1 1 indeterminate 0.1615 0 0 1 1 atypical 0.046 0 0 1 1,0.57316303,0.2194128,0.16146268,0.04596146
045762d32a15_study,negative 0.0053 0 0 1 1 typical 0.7038 0 0 1 1 indeterminate 0.1954 0 0 1 1 atypical 0.0955 0 0 1 1,0.0053370665,0.7037999,0.19541025,0.095452785
0475198fc9d7_study,negative 0.7102 0 0 1 1 typical 0.0674 0 0 1 1 indeterminate 0.1901 0 0 1 1 atypical 0.0324 0 0 1 1,0.71015054,0.067356244,0.19007261,0.032420635
0478ead3b8c2_study,negative 0.6545 0 0 1 1 typical 0.1297 0 0 1 1 indeterminate 0.1767 0 0 1 1 atypical 0.0392 0 0 1 1,0.6544513,0.12969346,0.17668794,0.03916724
047b450939fd_study,negative 0.0502 0 0 1 1 typical 0.6134 0 0 1 1 indeterminate 0.2884 0 0 1 1 atypical 0.048 0 0 1 1,0.050202,0.6133708,0.28844386,0.047983315
0482ed7dda6e_study,negative 0.0484 0 0 1 1 typical 0.5403 0 0 1 1 indeterminate 0.2825 0 0 1 1 atypical 0.1288 0 0 1 1,0.048374522,0.54034674,0.2825067,0.12877199
048616ba3fe3_study,negative 0.0912 0 0 1 1 typical 0.726 0 0 1 1 indeterminate 0.1352 0 0 1 1 atypical 0.0476 0 0 1 1,0.091221645,0.7259803,0.13521895,0.047579117
0490450d954b_study,negative 0.032 0 0 1 1 typical 0.2049 0 0 1 1 indeterminate 0.3929 0 0 1 1 atypical 0.3702 0 0 1 1,0.031957217,0.20490174,0.39293566,0.37020537
0490565dc4c0_study,negative 0.0008 0 0 1 1 typical 0.9431 0 0 1 1 indeterminate 0.0519 0 0 1 1 atypical 0.0041 0 0 1 1,0.000797263,0.9431244,0.051944684,0.0041335337
0496e1b97269_study,negative 0.0426 0 0 1 1 typical 0.7066 0 0 1 1 indeterminate 0.2007 0 0 1 1 atypical 0.0501 0 0 1 1,0.04261737,0.7065969,0.2006595,0.05012627
04ba8031118a_study,negative 0.0383 0 0 1 1 typical 0.7328 0 0 1 1 indeterminate 0.191 0 0 1 1 atypical 0.0379 0 0 1 1,0.03834425,0.73277605,0.1909601,0.03791955
04d14aa24eff_study,negative 0.0135 0 0 1 1 typical 0.7451 0 0 1 1 indeterminate 0.2016 0 0 1 1 atypical 0.0398 0 0 1 1,0.013489384,0.745129,0.20162134,0.039760273
04d53300f9d1_study,negative 0.0099 0 0 1 1 typical 0.761 0 0 1 1 indeterminate 0.1855 0 0 1 1 atypical 0.0436 0 0 1 1,0.009869043,0.76102036,0.1855396,0.043570988
04e04b1e22c5_study,negative 0.0102 0 0 1 1 typical 0.7752 0 0 1 1 indeterminate 0.1794 0 0 1 1 atypical 0.0352 0 0 1 1,0.010221004,0.77524513,0.17938308,0.03515081
04ebc4466923_study,negative 0.9449 0 0 1 1 typical 0.0105 0 0 1 1 indeterminate 0.0378 0 0 1 1 atypical 0.0067 0 0 1 1,0.944943,0.01054247,0.03777643,0.006738063
04f115f14e1c_study,negative 0.0303 0 0 1 1 typical 0.6299 0 0 1 1 indeterminate 0.2877 0 0 1 1 atypical 0.0521 0 0 1 1,0.030343965,0.62994415,0.28766054,0.052051414
04fc265a693e_study,negative 0.1247 0 0 1 1 typical 0.3864 0 0 1 1 indeterminate 0.3401 0 0 1 1 atypical 0.1488 0 0 1 1,0.12473338,0.38639748,0.3400652,0.14880393
052693d6dfff_study,negative 0.4843 0 0 1 1 typical 0.1476 0 0 1 1 indeterminate 0.1778 0 0 1 1 atypical 0.1904 0 0 1 1,0.48426944,0.14757071,0.17779097,0.19036897
0543d2bc1c80_study,negative 0.5994 0 0 1 1 typical 0.1653 0 0 1 1 indeterminate 0.1615 0 0 1 1 atypical 0.0737 0 0 1 1,0.5994157,0.16532944,0.16152953,0.073725276
0550e5868e2d_study,negative 0.0011 0 0 1 1 typical 0.9404 0 0 1 1 indeterminate 0.0511 0 0 1 1 atypical 0.0073 0 0 1 1,0.0010941423,0.94044733,0.0511385,0.0073199547
0556cdfa7299_study,negative 0.6091 0 0 1 1 typical 0.1469 0 0 1 1 indeterminate 0.1707 0 0 1 1 atypical 0.0733 0 0 1 1,0.6091315,0.14692111,0.17066371,0.07328364
055f0253e5cc_study,negative 0.2835 0 0 1 1 typical 0.2609 0 0 1 1 indeterminate 0.3771 0 0 1 1 atypical 0.0785 0 0 1 1,0.28352076,0.26089197,0.37705573,0.07853148
056126fb6e9f_study,negative 0.1457 0 0 1 1 typical 0.44 0 0 1 1 indeterminate 0.2922 0 0 1 1 atypical 0.1221 0 0 1 1,0.14573638,0.43997702,0.29222873,0.122057855
05619d312f50_study,negative 0.0014 0 0 1 1 typical 0.7174 0 0 1 1 indeterminate 0.1808 0 0 1 1 atypical 0.1005 0 0 1 1,0.0013519084,0.7174254,0.1807635,0.100459166
057c02a959f1_study,negative 0.0008 0 0 1 1 typical 0.898 0 0 1 1 indeterminate 0.0849 0 0 1 1 atypical 0.0164 0 0 1 1,0.00077610405,0.8979565,0.08486392,0.01640349
0586a3fc149c_study,negative 0.9134 0 0 1 1 typical 0.0088 0 0 1 1 indeterminate 0.0595 0 0 1 1 atypical 0.0184 0 0 1 1,0.9133591,0.008812817,0.059457928,0.018370211
0591d7b2d734_study,negative 0.0669 0 0 1 1 typical 0.7689 0 0 1 1 indeterminate 0.1397 0 0 1 1 atypical 0.0244 0 0 1 1,0.066937,0.7689479,0.13970852,0.024406543
0599d527d3b6_study,negative 0.0493 0 0 1 1 typical 0.6362 0 0 1 1 indeterminate 0.2588 0 0 1 1 atypical 0.0558 0 0 1 1,0.049251426,0.63619155,0.25878322,0.055773783
059f8765a1c1_study,negative 0.0016 0 0 1 1 typical 0.9515 0 0 1 1 indeterminate 0.041 0 0 1 1 atypical 0.0059 0 0 1 1,0.0015788734,0.95153844,0.040982485,0.005900128
059fb5105884_study,negative 0.2284 0 0 1 1 typical 0.4424 0 0 1 1 indeterminate 0.2478 0 0 1 1 atypical 0.0815 0 0 1 1,0.22838724,0.44240475,0.24775228,0.08145582
05debac9c652_study,negative 0.5566 0 0 1 1 typical 0.2786 0 0 1 1 indeterminate 0.1407 0 0 1 1 atypical 0.0241 0 0 1 1,0.5565604,0.27861243,0.14071813,0.024109052
05f00e9a126b_study,negative 0.0046 0 0 1 1 typical 0.9041 0 0 1 1 indeterminate 0.0801 0 0 1 1 atypical 0.0112 0 0 1 1,0.0046080975,0.9041396,0.0800888,0.011163462
05f42286c7a2_study,negative 0.0102 0 0 1 1 typical 0.548 0 0 1 1 indeterminate 0.2388 0 0 1 1 atypical 0.203 0 0 1 1,0.010210319,0.54797435,0.23883358,0.20298181
05f85b86cdd6_study,negative 0.0004 0 0 1 1 typical 0.9524 0 0 1 1 indeterminate 0.0445 0 0 1 1 atypical 0.0027 0 0 1 1,0.0003758625,0.9523761,0.044531044,0.0027169106
060ed64e8ea3_study,negative 0.0 0 0 1 1 typical 0.9781 0 0 1 1 indeterminate 0.0202 0 0 1 1 atypical 0.0016 0 0 1 1,3.2291777e-05,0.97813946,0.020192374,0.0016359393
060fbd1293ee_study,negative 0.9711 0 0 1 1 typical 0.0102 0 0 1 1 indeterminate 0.0137 0 0 1 1 atypical 0.005 0 0 1 1,0.97105485,0.0102226585,0.013726121,0.004996334
061c46e4e75e_study,negative 0.4067 0 0 1 1 typical 0.3692 0 0 1 1 indeterminate 0.1894 0 0 1 1 atypical 0.0347 0 0 1 1,0.4067193,0.36917397,0.18941388,0.034692843
061d2ddaddd1_study,negative 0.0717 0 0 1 1 typical 0.8338 0 0 1 1 indeterminate 0.0813 0 0 1 1 atypical 0.0132 0 0 1 1,0.07171003,0.833804,0.08129361,0.01319232
065a7fafe1a7_study,negative 0.0051 0 0 1 1 typical 0.9186 0 0 1 1 indeterminate 0.071 0 0 1 1 atypical 0.0052 0 0 1 1,0.0051212516,0.9186047,0.07104651,0.005227474
066b12d875eb_study,negative 0.12 0 0 1 1 typical 0.2983 0 0 1 1 indeterminate 0.2644 0 0 1 1 atypical 0.3173 0 0 1 1,0.120044194,0.2982635,0.26436174,0.3173306
066b28c3eb1e_study,negative 0.9638 0 0 1 1 typical 0.0029 0 0 1 1 indeterminate 0.0277 0 0 1 1 atypical 0.0056 0 0 1 1,0.9638265,0.0028765555,0.027664421,0.0056325328
