study_id,series_id,image_id,save_name,shape,shape_crop,window,crop_starts,photometric_interpreation,series_number,instance_number
02e31620e4e7,fb593f9b0d03,0060e4f54aa8,02e31620e4e7_0060e4f54aa8.png,"(2800, 3408)","(2800, 3408)","(2053.0, 15304.0)","(0, 0)",MONOCHROME1,1,1
6f29d576794f,22c3bb791561,006e2ac85d57,6f29d576794f_006e2ac85d57.png,"(2436, 3032)","(2436, 3032)","(3829.0, 64460.0)","(0, 0)",MONOCHROME1,1,1
7f9e2766281e,924b79b2f476,007b2567d83e,7f9e2766281e_007b2567d83e.png,"(2336, 2836)","(2336, 2836)","(3773.0, 16208.0)","(0, 0)",MONOCHROME1,1,1
e9d5e9c6fd14,634bb7411463,007cf31356c6,e9d5e9c6fd14_007cf31356c6.png,"(3488, 4256)","(3487, 4255)","(18.0, 3596.0)","(0, 0)",MONOCHROME2,1,1
39a80a14bfda,088a20979e31,008ca392cff3,39a80a14bfda_008ca392cff3.png,"(3480, 4240)","(3480, 4240)","(15.0, 216.0)","(0, 0)",MONOCHROME2,1,1
2c7d0327a977,1c5d4ad5fe67,008ff73b4ef3,2c7d0327a977_008ff73b4ef3.png,"(3488, 4256)","(3486, 4255)","(20.0, 3460.0)","(0, 0)",MONOCHROME2,1,1
3a3c198051f0,e38a48e1f5ab,00a129830f4e,3a3c198051f0_00a129830f4e.png,"(2336, 2836)","(2336, 2836)","(4253.0, 15962.0)","(0, 0)",MONOCHROME1,1,1
ac3d554867d0,97d176c65f0a,00b0891276a3,ac3d554867d0_00b0891276a3.png,"(2536, 3048)","(2536, 3048)","(25.0, 3413.0)","(0, 0)",MONOCHROME2,1,1
9b4bd818dd00,8cb727e8708c,00b767b49fcd,9b4bd818dd00_00b767b49fcd.png,"(2330, 2846)","(2330, 2846)","(164.0, 3562.0)","(0, 0)",MONOCHROME2,1,1
dadc2e3842e5,e7866b8dd3df,00b8180bd3a8,dadc2e3842e5_00b8180bd3a8.png,"(2991, 2992)","(2991, 2991)","(14.0, 3081.0)","(0, 0)",MONOCHROME2,1,1
1a58b43cf286,461096d084ba,00c1515729a8,1a58b43cf286_00c1515729a8.png,"(2539, 3050)","(2539, 3050)","(188.0, 3697.0)","(0, 0)",MONOCHROME2,3,1
02f88d67e4d6,0665e81b7b4a,00e37a390f0f,02f88d67e4d6_00e37a390f0f.png,"(2544, 3056)","(2540, 3052)","(91.0, 3384.0)","(4, 0)",MONOCHROME2,1,1
74ba8f2badcb,c8755f476425,00e3a7e91a34,74ba8f2badcb_00e3a7e91a34.png,"(1760, 2140)","(1759, 2138)","(912.0, 3907.0)","(1, 0)",MONOCHROME2,4,1
3bc25f4361e2,0d9216b607d1,00fb65888ddf,3bc25f4361e2_00fb65888ddf.png,"(3488, 4256)","(3486, 4255)","(67.0, 3500.0)","(0, 0)",MONOCHROME2,1,1
2a7b4e669dda,56124a55d874,010214f9b600,2a7b4e669dda_010214f9b600.png,"(2539, 3050)","(2537, 2952)","(220.0, 3765.0)","(0, 40)",MONOCHROME2,1,1
81f6b4b343f7,84c1e7460c8d,0102b5cac730,81f6b4b343f7_0102b5cac730.png,"(2544, 3056)","(2540, 3052)","(23.0, 3425.0)","(4, 0)",MONOCHROME2,3,1
e15b98946bf7,baba723e4a01,010433f32857,e15b98946bf7_010433f32857.png,"(3488, 4256)","(3486, 4255)","(72.0, 3437.0)","(0, 0)",MONOCHROME2,1,1
7ecdff541fd7,06d889ee2b57,010776c711bc,7ecdff541fd7_010776c711bc.png,"(3032, 3032)","(2947, 2821)","(1.0, 3565.0)","(0, 4)",MONOCHROME2,1,1
d90748e85b6b,8228f68df16b,010a18b0c868,d90748e85b6b_010a18b0c868.png,"(2436, 3032)","(2436, 3032)","(3971.0, 64228.0)","(0, 0)",MONOCHROME1,1,1
8a606a964b1d,56cbe3430569,010e677381f7,8a606a964b1d_010e677381f7.png,"(2400, 2880)","(2352, 2879)","(813.0, 6889.0)","(24, 0)",MONOCHROME2,,
b44d74635de5,6d5607fadfbb,0120c5c1352b,b44d74635de5_0120c5c1352b.png,"(2336, 2836)","(2336, 2836)","(4095.0, 15752.0)","(0, 0)",MONOCHROME1,1,1
0acf45b01bdf,11b150218e91,0124f624dacb,0acf45b01bdf_0124f624dacb.png,"(3480, 4240)","(3480, 4240)","(68.0, 3735.0)","(0, 0)",MONOCHROME2,1,1
20eb74deaf29,4134e2ae012e,012f57190f1d,20eb74deaf29_012f57190f1d.png,"(2428, 2428)","(2427, 2427)","(15.0, 3910.0)","(0, 0)",MONOCHROME2,1,1
5be2cf346b1e,b4edc931de85,0133bf9a5f5c,5be2cf346b1e_0133bf9a5f5c.png,"(2336, 2836)","(2336, 2836)","(1458.0, 14872.0)","(0, 0)",MONOCHROME1,1,1
3c88bd82fb37,c3b35d1172dc,01376c1ba556,3c88bd82fb37_01376c1ba556.png,"(3480, 4248)","(2663, 3806)","(1.0, 8871.0)","(432, 442)",MONOCHROME1,1,1
a33697e797cc,69ccac342782,014a736182d3,a33697e797cc_014a736182d3.png,"(3488, 4256)","(3486, 4255)","(59.0, 3541.0)","(0, 0)",MONOCHROME2,1,1
7f84d57bc1cc,aeb99d37b898,0150df5b6f08,7f84d57bc1cc_0150df5b6f08.png,"(2801, 2802)","(2801, 2801)","(153.0, 2996.0)","(0, 0)",MONOCHROME2,1,1
528aca245f9a,525fbdb19672,015169fc4212,528aca245f9a_015169fc4212.png,"(2320, 2828)","(1861, 2493)","(189.0, 1871.0)","(459, 252)",MONOCHROME1,1,1
0da60a794140,fb2c63dfa93c,015484acb9cf,0da60a794140_015484acb9cf.png,"(2336, 2836)","(2336, 2836)","(2546.0, 15183.0)","(0, 0)",MONOCHROME1,1,1
c5af2a9953f1,f8aa92b5a26a,015ac3c7199d,c5af2a9953f1_015ac3c7199d.png,"(2151, 2668)","(2151, 2668)","(1129.0, 14325.0)","(0, 0)",MONOCHROME1,1,1
0e9bece7e297,020a242ad6ab,01685340af75,0e9bece7e297_01685340af75.png,"(2330, 2846)","(2330, 2846)","(53.0, 3390.0)","(0, 0)",MONOCHROME2,1,1
a891e4625f8f,39eaeb10c701,016e884581b8,a891e4625f8f_016e884581b8.png,"(3480, 4240)","(3480, 4240)","(92.0, 3754.0)","(0, 0)",MONOCHROME2,1,1
6556bcef1015,f8525bf920b4,0171f8209991,6556bcef1015_0171f8209991.png,"(1140, 1387)","(1030, 1387)","(40.0, 4074.0)","(0, 0)",MONOCHROME2,1,1
6de130752a73,055f52a8d21a,018343ac5c25,6de130752a73_018343ac5c25.png,"(2800, 3408)","(2800, 3408)","(2039.0, 14652.0)","(0, 0)",MONOCHROME1,1,1
c25107e62d1e,f48e591529cf,018f32c6644f,c25107e62d1e_018f32c6644f.png,"(2336, 2836)","(2336, 2836)","(1766.0, 15325.0)","(0, 0)",MONOCHROME1,1,1
3a2ab0d08864,e02fb2598cda,0199e056a941,3a2ab0d08864_0199e056a941.png,"(4020, 4891)","(3935, 4255)","(26.0, 4074.0)","(85, 169)",MONOCHROME2,1,1
b25c193b3b44,6a281d46860b,01a1aabbef0d,b25c193b3b44_01a1aabbef0d.png,"(2320, 2832)","(2320, 2832)","(595.0, 3695.0)","(0, 0)",MONOCHROME2,1,1
d5b987cc8efd,509ed0db19b9,01a6995ec763,d5b987cc8efd_01a6995ec763.png,"(3032, 3032)","(3029, 3028)","(18.0, 3559.0)","(0, 4)",MONOCHROME2,1,1
5359e47a53e0,34a0d0b2a274,01a869686037,5359e47a53e0_01a869686037.png,"(3480, 4248)","(3480, 4248)","(498.0, 3563.0)","(0, 0)",MONOCHROME2,1,1
623fd21cb286,d1f9e3163096,01aefe9ed777,623fd21cb286_01aefe9ed777.png,"(2800, 3408)","(2800, 3408)","(2021.0, 14502.0)","(0, 0)",MONOCHROME1,1,1
b89d40fe2918,9b892de84362,01b3d67779e8,b89d40fe2918_01b3d67779e8.png,"(2801, 2802)","(2801, 2801)","(52.0, 2503.0)","(0, 0)",MONOCHROME2,1,1
66b8524ee889,47d487e922c6,01bf68877dab,66b8524ee889_01bf68877dab.png,"(3480, 4240)","(3480, 4240)","(123.0, 3718.0)","(0, 0)",MONOCHROME2,1,1
2f402fc871b8,aafc25e20d00,01c6d2e4f936,2f402fc871b8_01c6d2e4f936.png,"(2400, 2880)","(2352, 2879)","(573.0, 9498.0)","(24, 0)",MONOCHROME2,,
afdda33a1265,da6940157911,01d83be76fbb,afdda33a1265_01d83be76fbb.png,"(2974, 2986)","(2973, 2984)","(114.0, 3540.0)","(0, 0)",MONOCHROME2,1,1
72d02af1f658,7820413936bb,01ddea932ac2,72d02af1f658_01ddea932ac2.png,"(3488, 4256)","(3486, 4255)","(99.0, 3639.0)","(0, 0)",MONOCHROME2,1,1
8a4619a36d39,5daea38b1169,01e2538deeb0,8a4619a36d39_01e2538deeb0.png,"(3198, 3056)","(3056, 3056)","(33.0, 247.0)","(71, 0)",MONOCHROME2,,
3829bdf59453,556c204bc2c7,01e4def48338,3829bdf59453_01e4def48338.png,"(3480, 4248)","(3480, 3487)","(2.0, 3976.0)","(0, 761)",MONOCHROME2,1,1
759fdf1aaf08,47ffb9db4d5d,01e604f3bb53,759fdf1aaf08_01e604f3bb53.png,"(2539, 3050)","(2539, 3050)","(154.0, 3784.0)","(0, 0)",MONOCHROME2,1,1
59a91c5701e6,b63b2808e34a,01e66c5fc9f3,59a91c5701e6_01e66c5fc9f3.png,"(3052, 2996)","(3052, 2996)","(103.0, 1459.0)","(0, 0)",MONOCHROME1,1,1
570fd6af9eab,799c90315a49,01e7fdcf87fc,570fd6af9eab_01e7fdcf87fc.png,"(2012, 2012)","(2012, 2012)","(633.0, 5196.0)","(0, 0)",MONOCHROME2,7232,1
1b49b7921474,7bf324da2da1,01f8945ece37,1b49b7921474_01f8945ece37.png,"(2540, 2880)","(2400, 2880)","(827.0, 10515.0)","(70, 0)",MONOCHROME2,,
f86b1c64bf80,81a288f7a1a8,01fc054e43dd,f86b1c64bf80_01fc054e43dd.png,"(3480, 4240)","(3480, 4240)","(116.0, 3562.0)","(0, 0)",MONOCHROME2,1,1
38705dba1a96,222d6893d607,02037e3e6555,38705dba1a96_02037e3e6555.png,"(3480, 4240)","(3480, 4240)","(85.0, 3565.0)","(0, 0)",MONOCHROME2,1,1
f41d7c33e0fb,1583e16869d8,022085a0b648,f41d7c33e0fb_022085a0b648.png,"(2539, 3050)","(2539, 3050)","(32.0, 3312.0)","(0, 0)",MONOCHROME2,5,1
dc5ad30410e4,7bfe5b82fd57,02366ec75168,dc5ad30410e4_02366ec75168.png,"(2336, 2836)","(2336, 2836)","(4003.0, 15158.0)","(0, 0)",MONOCHROME1,1,1
e36dac4d5aca,5c75ee68c4a0,023b985092de,e36dac4d5aca_023b985092de.png,"(2446, 2726)","(2381, 2662)","(202.0, 3559.0)","(0, 64)",MONOCHROME2,1,1
4ee82c256da7,85be4513519e,0242367347b8,4ee82c256da7_0242367347b8.png,"(3032, 3032)","(3029, 3028)","(1.0, 3304.0)","(0, 4)",MONOCHROME2,1,1
72844dad85ba,dea36e5df966,024875121068,72844dad85ba_024875121068.png,"(3480, 4240)","(2570, 4240)","(2.0, 3747.0)","(910, 0)",MONOCHROME2,1,1
f4ead5d70ba6,a34c54f5b21c,025bf835bba6,f4ead5d70ba6_025bf835bba6.png,"(2330, 2846)","(2330, 2846)","(117.0, 3445.0)","(0, 0)",MONOCHROME2,1,1
1378d927b88e,ed56e0e6b5f0,025c5bde94c7,1378d927b88e_025c5bde94c7.png,"(2874, 2840)","(2874, 2840)","(73.0, 3147.0)","(0, 0)",MONOCHROME2,1,1
4e9eb654f451,adf1f5658103,027473c590c1,4e9eb654f451_027473c590c1.png,"(2382, 2537)","(2375, 2526)","(7976.0, 16691.0)","(7, 5)",MONOCHROME1,1,1
af8e8feb4b52,6f5294633372,0283ed37496d,af8e8feb4b52_0283ed37496d.png,"(3201, 3214)","(3201, 3214)","(168.0, 3444.0)","(0, 0)",MONOCHROME1,1,1
f1236049dc34,6b9ed12e6da6,0286138dab9b,f1236049dc34_0286138dab9b.png,"(2234, 2428)","(1543, 2089)","(15.0, 3532.0)","(141, 126)",MONOCHROME2,1,1
7607d10ce737,bc3e1a3b5e29,029fd29fcfff,7607d10ce737_029fd29fcfff.png,"(2600, 2706)","(2600, 2706)","(3414.0, 16487.0)","(0, 0)",MONOCHROME1,1,1
a76a593c467d,162f45c2da91,02a1efc9a703,a76a593c467d_02a1efc9a703.png,"(2436, 3032)","(2436, 3032)","(8406.0, 64723.0)","(0, 0)",MONOCHROME1,1,1
c3d5876a73a1,14ce51e496d6,02bc68ef4265,c3d5876a73a1_02bc68ef4265.png,"(2436, 3032)","(2436, 3032)","(3835.0, 65058.0)","(0, 0)",MONOCHROME1,1,1
59e10fae4c81,320e32ffc0e5,02c054cac191,59e10fae4c81_02c054cac191.png,"(3480, 4240)","(3480, 4240)","(84.0, 3657.0)","(0, 0)",MONOCHROME2,1,1
12aac2bc16f8,c80c1c20682b,02cfb8970bca,12aac2bc16f8_02cfb8970bca.png,"(2910, 2980)","(2853, 2978)","(14.0, 3529.0)","(56, 0)",MONOCHROME2,1,1
80b943fa8ecf,d8a35f570e3a,02d302d64d58,80b943fa8ecf_02d302d64d58.png,"(3032, 3032)","(3029, 3028)","(26.0, 3229.0)","(0, 4)",MONOCHROME2,1,1
956d5ff78f91,04ee8c209bde,02e0b0db9231,956d5ff78f91_02e0b0db9231.png,"(2330, 2846)","(2330, 2846)","(369.0, 3472.0)","(0, 0)",MONOCHROME2,1,1
e29617323fef,4762cc4e571f,02eed7c620be,e29617323fef_02eed7c620be.png,"(2544, 3056)","(2540, 3052)","(54.0, 2540.0)","(4, 0)",MONOCHROME2,1,1
f8a3d75d02bc,6116a3c3a89a,030297920060,f8a3d75d02bc_030297920060.png,"(3032, 3032)","(3029, 3028)","(132.0, 3596.0)","(0, 4)",MONOCHROME2,1,1
8e0e8fb16772,52c88d91e181,030729b6b204,8e0e8fb16772_030729b6b204.png,"(2800, 3408)","(2800, 3408)","(1292.0, 14312.0)","(0, 0)",MONOCHROME1,1,1
673aea73b37a,7f9601aedd2e,030897965e6c,673aea73b37a_030897965e6c.png,"(3480, 4248)","(3480, 4248)","(30.0, 3424.0)","(0, 0)",MONOCHROME2,1,1
1c4a89d7a901,b4211b9c27bf,0317553424d7,1c4a89d7a901_0317553424d7.png,"(3488, 4256)","(3486, 4255)","(16.0, 3343.0)","(0, 0)",MONOCHROME2,1,2
bb316c570dea,9701bf66c9fd,0322cba9c844,bb316c570dea_0322cba9c844.png,"(2520, 3032)","(2509, 2569)","(1422.0, 3053.0)","(11, 0)",MONOCHROME2,2,1
6b20523f5b0c,5c4146da9942,0326d6990386,6b20523f5b0c_0326d6990386.png,"(2739, 2812)","(2739, 2812)","(621.0, 2917.0)","(0, 0)",MONOCHROME2,1,1
0718a591b693,2815c911a14d,032edff0990f,0718a591b693_032edff0990f.png,"(1760, 2140)","(1737, 2138)","(214.0, 3745.0)","(22, 0)",MONOCHROME2,1,1
11793d699af2,1311e5192618,032f2ab06cad,11793d699af2_032f2ab06cad.png,"(2548, 3060)","(2548, 3060)","(1355.0, 13476.0)","(0, 0)",MONOCHROME1,1,1
10bd268ba723,f25e05938761,035750d2cc67,10bd268ba723_035750d2cc67.png,"(2800, 3408)","(2800, 3408)","(1192.0, 14531.0)","(0, 0)",MONOCHROME1,1,1
c87fc2d62863,a6172c5fc86a,035e8786afef,c87fc2d62863_035e8786afef.png,"(2336, 2836)","(2336, 2836)","(2594.0, 17401.0)","(0, 0)",MONOCHROME1,1,1
312b098c64a2,ab028ba4df41,035f51150531,312b098c64a2_035f51150531.png,"(3480, 4240)","(2887, 3803)","(4.0, 3694.0)","(586, 429)",MONOCHROME2,1,1
36aafc1b1c20,12ed21a88352,036fe057963a,36aafc1b1c20_036fe057963a.png,"(2520, 3032)","(2516, 3004)","(209.0, 3224.0)","(4, 0)",MONOCHROME2,3,1
1c47b7084ba4,500ede0809a5,039159f7b61b,1c47b7084ba4_039159f7b61b.png,"(2292, 2846)","(2292, 2846)","(115.0, 2462.0)","(0, 0)",MONOCHROME2,1,2
e8cd174b1e73,feebea4c4be3,039adaff232e,e8cd174b1e73_039adaff232e.png,"(1140, 1387)","(1140, 1387)","(43.0, 4072.0)","(0, 0)",MONOCHROME2,1,1
b878791caa1a,487f4017c2dd,039c86552c5a,b878791caa1a_039c86552c5a.png,"(2428, 2428)","(2427, 2427)","(1.0, 3994.0)","(0, 0)",MONOCHROME2,1,1
f49511663558,5daea4371da9,03a1614f51e7,f49511663558_03a1614f51e7.png,"(2416, 2872)","(2276, 2872)","(81.0, 238.0)","(70, 0)",MONOCHROME2,,
d6a6bdffccf1,7d6db630bd3e,03cafeb389a1,d6a6bdffccf1_03cafeb389a1.png,"(1760, 2140)","(1592, 1989)","(538.0, 3643.0)","(106, 93)",MONOCHROME2,1,1
0bc5db15a5b8,94aec69fcae2,03d2a0aeaba5,0bc5db15a5b8_03d2a0aeaba5.png,"(3480, 4240)","(3480, 4240)","(61.0, 3660.0)","(0, 0)",MONOCHROME2,1,1
2bd907ae6451,f5aec4f13924,03dc2e91e74d,2bd907ae6451_03dc2e91e74d.png,"(3480, 4240)","(3480, 4240)","(85.0, 3544.0)","(0, 0)",MONOCHROME2,1,1
e9f977bc280f,8d8fa3815ea1,03ef29864757,e9f977bc280f_03ef29864757.png,"(2544, 3056)","(2540, 2964)","(279.0, 3582.0)","(4, 92)",MONOCHROME2,1,1
0bc9b8eb7ead,2642d6e09503,03f4cfb9345d,0bc9b8eb7ead_03f4cfb9345d.png,"(2605, 2977)","(2604, 2975)","(27.0, 3474.0)","(0, 0)",MONOCHROME2,1,1
420bb7be8ab2,ac4ab4857a69,03f542bf62bb,420bb7be8ab2_03f542bf62bb.png,"(2010, 2446)","(2009, 2445)","(63.0, 4030.0)","(0, 0)",MONOCHROME2,1,1
22adb7da3c70,22f2fce63102,03fd83fc90d9,22adb7da3c70_03fd83fc90d9.png,"(3032, 3032)","(3029, 3028)","(1.0, 3593.0)","(0, 4)",MONOCHROME2,1,1
631509ad3765,15e61c4e6c3a,041089ce263a,631509ad3765_041089ce263a.png,"(2336, 2836)","(2336, 2836)","(1204.0, 14963.0)","(0, 0)",MONOCHROME1,1,1
5f4a1c18f73a,ab55d3558d51,041c956d9bd7,5f4a1c18f73a_041c956d9bd7.png,"(3480, 4240)","(3480, 4240)","(1451.0, 3917.0)","(0, 0)",MONOCHROME2,1,1
efb9bc675820,50ac6b97fcbf,041e01732a79,efb9bc675820_041e01732a79.png,"(2180, 2660)","(2176, 2582)","(105.0, 3676.0)","(3, 41)",MONOCHROME2,1,1
f36ed95de256,f53071094696,041ff8cc34cf,f36ed95de256_041ff8cc34cf.png,"(3052, 3052)","(3052, 3052)","(105.0, 1474.0)","(0, 0)",MONOCHROME1,1,1
65ead08a5f6b,3c7a887bc10f,0424649a0330,65ead08a5f6b_0424649a0330.png,"(2320, 2832)","(2320, 2832)","(2.0, 218.0)","(0, 0)",MONOCHROME2,1,1
08b3ed9bd8ff,2dc9732337a0,042e8fe12700,08b3ed9bd8ff_042e8fe12700.png,"(1140, 1387)","(1139, 1387)","(21.0, 4085.0)","(0, 0)",MONOCHROME2,1,1
b949689a9ef1,55322ef5e823,042efea6bd1d,b949689a9ef1_042efea6bd1d.png,"(2436, 3032)","(2436, 3032)","(6168.0, 64017.0)","(0, 0)",MONOCHROME1,1,1
b64ca770e9de,2f91dba36b67,0439b8a687cc,b64ca770e9de_0439b8a687cc.png,"(3480, 4248)","(3302, 3871)","(274.0, 1874.0)","(178, 371)",MONOCHROME1,1,1
5b1912a3bd37,d58b07f444f1,0439f052b73b,5b1912a3bd37_0439f052b73b.png,"(2336, 2836)","(2336, 2836)","(5035.0, 14797.0)","(0, 0)",MONOCHROME1,1,1
583b8489646f,18ab75d49328,043d37504ca8,583b8489646f_043d37504ca8.png,"(2593, 2992)","(2593, 2991)","(46.0, 2488.0)","(0, 0)",MONOCHROME2,1,1
4afe7a3ec6d9,03e8599519d4,04427f45efde,4afe7a3ec6d9_04427f45efde.png,"(3480, 4248)","(3480, 4248)","(24.0, 3605.0)","(0, 0)",MONOCHROME2,2,1
b9d06459c6e4,9d7671a8c6d2,044839a5b51f,b9d06459c6e4_044839a5b51f.png,"(2436, 3032)","(2436, 3032)","(3587.0, 64775.0)","(0, 0)",MONOCHROME1,1,1
b66a03d385b2,13ee505d1521,0449b62bc0b6,b66a03d385b2_0449b62bc0b6.png,"(2634, 2962)","(2633, 2960)","(20.0, 3451.0)","(0, 0)",MONOCHROME2,1,1
2b9eb0cb1e87,c4afffeda8ad,0452c373f62b,2b9eb0cb1e87_0452c373f62b.png,"(2520, 3032)","(2494, 3027)","(1.0, 3449.0)","(23, 5)",MONOCHROME2,1,1
4ecbcabc9971,ca42a8398a44,046fd0c18f22,4ecbcabc9971_046fd0c18f22.png,"(2336, 2836)","(2336, 2836)","(4149.0, 15989.0)","(0, 0)",MONOCHROME1,2,1
3f80fa00fee4,086ed934a3bf,047d552a32a7,3f80fa00fee4_047d552a32a7.png,"(3488, 4256)","(3487, 4255)","(47.0, 3529.0)","(0, 0)",MONOCHROME2,1,1
048616ba3fe3,79edad1404cc,049e68c02a31,048616ba3fe3_049e68c02a31.png,"(2336, 2836)","(2336, 2836)","(4578.0, 16277.0)","(0, 0)",MONOCHROME1,1,1
effcdb73627e,eee19c1d75b0,04a0b90d7875,effcdb73627e_04a0b90d7875.png,"(2520, 3032)","(2516, 3028)","(102.0, 2761.0)","(4, 0)",MONOCHROME2,3,1
be8295a3e3f1,751e42e7da69,04a4a5b779fc,be8295a3e3f1_04a4a5b779fc.png,"(2359, 2623)","(2358, 2621)","(4.0, 3568.0)","(0, 0)",MONOCHROME2,1,1
9cdeca924178,3e0fb82d4c54,04aac8fba348,9cdeca924178_04aac8fba348.png,"(3052, 3012)","(3052, 3012)","(65.0, 1485.0)","(0, 0)",MONOCHROME1,1,1
537f2065d631,f5fc10085c7e,04af69b81c7e,537f2065d631_04af69b81c7e.png,"(2520, 3032)","(2517, 3028)","(102.0, 3843.0)","(0, 0)",MONOCHROME2,1,1
862cdc30fb27,96ab7c8e48f5,04bf2d19ee4e,862cdc30fb27_04bf2d19ee4e.png,"(2336, 2836)","(2336, 2836)","(1501.0, 15156.0)","(0, 0)",MONOCHROME1,1,1
dda7e9290f64,5d65762cea98,04bfc50a592b,dda7e9290f64_04bfc50a592b.png,"(2309, 2926)","(2309, 2926)","(5934.0, 15873.0)","(0, 0)",MONOCHROME1,1,1
fcf51aeb5fab,6732a5f0ba17,04c1af6cb8df,fcf51aeb5fab_04c1af6cb8df.png,"(3488, 4256)","(3486, 4207)","(122.0, 3588.0)","(0, 0)",MONOCHROME2,1,1
0fd2db233deb,f759743147f8,04cc2f7f4c4b,0fd2db233deb_04cc2f7f4c4b.png,"(2781, 2987)","(2780, 2985)","(61.0, 3604.0)","(0, 0)",MONOCHROME2,9,1
8d3cf4f69a12,e44bd44d5541,04d1774c080a,8d3cf4f69a12_04d1774c080a.png,"(2544, 3056)","(2525, 3052)","(127.0, 3549.0)","(0, 0)",MONOCHROME2,1,1
0d6d3f946d7b,cbc716f0281d,04e9977554a5,0d6d3f946d7b_04e9977554a5.png,"(2520, 3032)","(2517, 3028)","(202.0, 3360.0)","(0, 4)",MONOCHROME2,4,1
6b08e639593c,e2c445200693,04ee02f3b685,6b08e639593c_04ee02f3b685.png,"(3480, 4248)","(3480, 4248)","(3.0, 218.0)","(0, 0)",MONOCHROME2,1,1
8f1242af7d14,b765aa223444,04ee818a03d6,8f1242af7d14_04ee818a03d6.png,"(1140, 1387)","(1140, 1387)","(8.0, 4066.0)","(0, 0)",MONOCHROME2,1,1
6e4a0581cefe,018ed20fa9c8,04f41a8958f7,6e4a0581cefe_04f41a8958f7.png,"(2490, 3408)","(2490, 3408)","(30.0, 2774.0)","(0, 0)",MONOCHROME2,3,1
7145f6e09e86,f22e2b6a670f,04f510ced363,7145f6e09e86_04f510ced363.png,"(2400, 2990)","(2400, 2990)","(25.0, 2410.0)","(0, 0)",MONOCHROME2,1,1
fd0cd3ed85bd,fdf47368e9f0,050021ae3649,fd0cd3ed85bd_050021ae3649.png,"(2320, 2832)","(2320, 2832)","(22.0, 3756.0)","(0, 0)",MONOCHROME2,1,1
dd60b8bfb2d2,28f309b218f1,0515910ab239,dd60b8bfb2d2_0515910ab239.png,"(3032, 3032)","(3029, 3028)","(90.0, 3221.0)","(0, 4)",MONOCHROME2,1,1
b65e52a96289,82268a05f55d,051c0c15073e,b65e52a96289_051c0c15073e.png,"(2416, 2872)","(2276, 2872)","(90.0, 239.0)","(70, 0)",MONOCHROME2,,
181360cf5b3f,6b33e10afbb5,052a3d6d08de,181360cf5b3f_052a3d6d08de.png,"(2233, 2850)","(2233, 2850)","(116.0, 2686.0)","(0, 0)",MONOCHROME2,1,1
8fd26a99fddf,4c219e571f72,052f53733165,8fd26a99fddf_052f53733165.png,"(2828, 2320)","(2658, 2205)","(9.0, 195.0)","(65, 59)",MONOCHROME2,1,1
38016f8471b2,a5ba71dd53ce,055ab8efe60a,38016f8471b2_055ab8efe60a.png,"(4240, 3480)","(4240, 3480)","(1796.0, 14744.0)","(0, 0)",MONOCHROME1,1,1
